1
10000 20000
55 362 22
74 363 39
293 364 4
15 365 77
86 366 41
65 367 50
43 368 31
80 369 49
113 370 16
203 371 13
56 372 8
362 373 2
308 374 91
216 375 30
163 376 24
285 377 33
39 378 28
240 379 4
84 380 82
272 381 44
155 382 24
121 383 100
85 384 21
204 385 8
268 386 13
255 387 9
299 388 46
50 389 100
159 390 31
149 391 50
322 392 69
367 393 50
300 394 54
139 395 79
47 396 37
250 397 60
190 398 15
219 399 70
383 400 58
378 401 22
385 402 50
28 403 42
190 404 95
381 405 34
300 406 22
110 407 30
270 408 18
40 409 90
260 410 88
299 411 9
289 412 90
396 413 88
324 414 30
297 415 90
282 416 86
252 417 9
235 418 45
32 419 85
205 420 42
419 421 16
296 422 54
412 423 57
304 424 29
286 425 45
416 426 14
283 427 92
58 428 24
259 429 59
249 430 39
59 431 43
126 432 12
39 433 63
341 434 52
426 435 47
189 436 70
215 437 60
262 438 12
298 439 97
111 440 14
261 441 59
310 442 97
70 443 34
131 444 32
333 445 76
316 446 93
290 447 99
306 448 21
129 449 63
36 450 12
112 451 17
383 452 28
89 453 55
288 454 44
285 455 82
114 456 43
248 457 88
151 458 94
379 459 10
223 460 65
277 461 47
21 462 55
209 463 64
364 464 10
199 465 98
391 466 40
77 467 2
47 468 95
116 469 57
275 470 59
28 471 99
32 472 29
322 473 40
344 474 6
29 475 99
373 476 38
429 477 31
77 478 94
331 479 70
178 480 73
299 481 75
441 482 85
164 483 78
309 484 36
446 485 21
369 486 23
315 487 46
145 488 4
449 489 77
269 490 90
75 491 83
462 492 23
202 493 22
169 494 60
253 495 70
182 496 61
337 497 95
176 498 24
132 499 80
437 500 57
200 501 4
276 502 70
300 503 33
219 504 38
125 505 86
67 506 35
284 507 5
58 508 33
354 509 25
155 510 20
327 511 75
79 512 91
421 513 82
124 514 92
235 515 25
465 516 13
152 517 82
49 518 29
463 519 59
120 520 75
4 521 45
334 522 63
354 523 71
260 524 79
331 525 91
426 526 93
406 527 83
355 528 34
484 529 1
519 530 28
145 531 77
314 532 4
59 533 26
388 534 25
352 535 51
101 536 79
527 537 64
155 538 48
28 539 40
370 540 33
223 541 29
173 542 48
313 543 12
132 544 78
536 545 62
297 546 88
35 547 49
231 548 49
310 549 75
258 550 61
127 551 75
100 552 24
95 553 83
328 554 24
19 555 1
498 556 57
225 557 33
78 558 91
272 559 40
79 560 7
22 561 29
66 562 92
531 563 84
145 564 54
179 565 64
99 566 87
126 567 4
476 568 80
46 569 85
255 570 12
427 571 63
200 572 66
171 573 23
149 574 90
31 575 80
21 576 16
96 577 41
299 578 88
517 579 98
412 580 87
573 581 58
148 582 2
523 583 39
160 584 98
339 585 37
550 586 11
545 587 29
105 588 46
80 589 88
206 590 18
537 591 35
476 592 26
219 593 91
519 594 3
8 595 57
434 596 52
342 597 66
223 598 74
462 599 86
301 600 78
574 601 84
204 602 25
395 603 68
539 604 16
103 605 60
265 606 73
56 607 17
487 608 21
399 609 62
80 610 98
588 611 64
169 612 83
289 613 53
608 614 84
239 615 30
188 616 64
186 617 52
101 618 78
513 619 61
304 620 25
41 621 77
340 622 14
149 623 46
20 624 55
295 625 9
277 626 28
584 627 52
561 628 4
368 629 17
127 630 94
347 631 51
97 632 12
242 633 97
280 634 25
162 635 81
146 636 30
365 637 98
435 638 5
157 639 81
314 640 54
601 641 62
418 642 64
555 643 43
284 644 68
19 645 57
27 646 5
213 647 19
277 648 12
143 649 4
225 650 24
536 651 89
559 652 96
442 653 48
517 654 32
230 655 62
302 656 20
359 657 18
40 658 39
648 659 1
615 660 70
37 661 20
659 662 15
622 663 42
201 664 56
346 665 66
17 666 85
154 667 84
498 668 43
487 669 84
442 670 14
66 671 63
89 672 72
564 673 67
488 674 43
121 675 69
37 676 75
460 677 38
614 678 77
224 679 67
484 680 29
432 681 63
503 682 37
655 683 97
30 684 33
349 685 56
397 686 78
590 687 79
524 688 49
114 689 11
191 690 64
469 691 3
520 692 66
216 693 79
285 694 23
109 695 74
593 696 80
268 697 68
584 698 86
318 699 98
683 700 48
54 701 17
104 702 23
187 703 78
603 704 44
636 705 62
605 706 19
240 707 50
261 708 60
616 709 78
88 710 77
483 711 37
665 712 90
96 713 76
666 714 71
363 715 98
56 716 78
334 717 47
120 718 60
366 719 72
179 720 64
345 721 63
224 722 53
678 723 17
591 724 43
42 725 97
621 726 48
125 727 79
299 728 40
566 729 17
19 730 26
164 731 81
233 732 27
239 733 56
197 734 3
163 735 41
76 736 63
71 737 47
207 738 70
123 739 30
21 740 9
487 741 35
232 742 11
709 743 45
447 744 66
577 745 61
687 746 78
299 747 47
438 748 71
78 749 42
445 750 80
34 751 90
521 752 89
284 753 61
6 754 51
114 755 22
736 756 68
513 757 18
430 758 69
437 759 29
438 760 27
141 761 78
751 762 85
626 763 60
191 764 29
577 765 32
728 766 87
435 767 53
486 768 9
477 769 84
635 770 7
598 771 21
99 772 14
482 773 56
643 774 4
372 775 20
156 776 28
493 777 87
510 778 24
750 779 71
641 780 99
422 781 11
571 782 74
538 783 11
33 784 28
406 785 96
476 786 51
712 787 12
717 788 58
695 789 50
55 790 55
231 791 43
705 792 70
521 793 46
42 794 27
748 795 45
770 796 21
275 797 61
238 798 70
777 799 80
21 800 16
275 801 35
510 802 43
464 803 34
241 804 17
511 805 12
291 806 56
325 807 4
767 808 35
369 809 69
545 810 16
735 811 85
369 812 72
805 813 82
470 814 67
573 815 90
623 816 87
109 817 1
507 818 74
320 819 84
469 820 21
596 821 60
539 822 2
788 823 4
592 824 64
156 825 97
132 826 41
339 827 19
802 828 30
124 829 4
645 830 64
706 831 30
553 832 22
458 833 35
749 834 16
545 835 37
523 836 66
364 837 67
760 838 63
586 839 54
411 840 97
642 841 10
110 842 87
580 843 100
247 844 84
96 845 63
802 846 1
425 847 1
119 848 74
136 849 20
662 850 6
206 851 80
703 852 4
810 853 41
606 854 19
276 855 44
26 856 100
333 857 52
473 858 85
796 859 53
675 860 7
135 861 66
844 862 59
839 863 80
178 864 6
79 865 25
78 866 7
41 867 85
335 868 2
245 869 27
521 870 74
301 871 36
487 872 75
31 873 10
160 874 42
828 875 30
423 876 29
712 877 6
845 878 14
79 879 23
710 880 88
428 881 33
581 882 4
135 883 3
64 884 45
73 885 77
333 886 51
628 887 91
879 888 3
640 889 88
187 890 14
230 891 44
225 892 17
809 893 80
126 894 38
39 895 52
175 896 50
320 897 70
306 898 100
158 899 9
738 900 4
386 901 13
637 902 49
677 903 32
256 904 55
179 905 99
73 906 40
300 907 61
309 908 42
764 909 89
851 910 94
190 911 7
695 912 23
552 913 99
367 914 99
738 915 69
13 916 45
506 917 57
461 918 36
796 919 48
386 920 62
598 921 61
282 922 91
737 923 9
440 924 13
430 925 15
831 926 89
855 927 1
756 928 97
479 929 37
396 930 10
726 931 49
260 932 39
709 933 51
194 934 48
224 935 20
260 936 47
176 937 11
115 938 53
319 939 20
697 940 20
506 941 70
366 942 7
76 943 20
705 944 73
768 945 1
742 946 65
938 947 88
360 948 10
282 949 33
258 950 39
352 951 67
824 952 83
673 953 73
939 954 99
810 955 99
419 956 30
885 957 79
141 958 94
396 959 94
735 960 57
346 961 52
735 962 47
299 963 76
681 964 80
240 965 66
940 966 11
132 967 6
395 968 60
18 969 28
38 970 25
89 971 80
943 972 51
486 973 93
127 974 7
204 975 14
891 976 32
153 977 37
964 978 55
328 979 38
846 980 24
963 981 55
513 982 34
338 983 27
896 984 41
575 985 7
405 986 37
348 987 71
772 988 96
839 989 82
416 990 1
295 991 69
30 992 11
981 993 65
731 994 21
727 995 2
689 996 57
668 997 77
87 998 19
874 999 87
670 1000 14
45 1001 76
132 1002 31
396 1003 36
253 1004 60
1001 1005 31
652 1006 64
214 1007 95
856 1008 56
404 1009 91
713 1010 14
714 1011 19
535 1012 52
92 1013 12
103 1014 3
745 1015 29
501 1016 95
128 1017 65
45 1018 1
100 1019 54
249 1020 68
557 1021 72
445 1022 36
70 1023 57
907 1024 29
919 1025 67
992 1026 42
393 1027 12
603 1028 84
863 1029 15
933 1030 25
255 1031 1
784 1032 50
189 1033 48
372 1034 68
706 1035 61
13 1036 90
900 1037 70
531 1038 2
874 1039 67
276 1040 76
285 1041 24
616 1042 22
749 1043 62
192 1044 61
696 1045 91
303 1046 70
71 1047 9
116 1048 12
504 1049 20
430 1050 9
131 1051 18
199 1052 64
360 1053 74
303 1054 17
677 1055 47
840 1056 77
1046 1057 14
642 1058 8
193 1059 55
500 1060 55
337 1061 5
945 1062 91
535 1063 47
675 1064 21
486 1065 33
351 1066 98
930 1067 31
49 1068 41
288 1069 78
1017 1070 48
456 1071 54
350 1072 97
863 1073 26
756 1074 97
226 1075 24
926 1076 28
628 1077 27
1066 1078 45
835 1079 72
116 1080 42
944 1081 49
975 1082 58
369 1083 53
656 1084 87
446 1085 59
561 1086 10
674 1087 14
874 1088 82
1016 1089 62
722 1090 71
815 1091 81
127 1092 64
235 1093 69
942 1094 83
252 1095 76
525 1096 96
581 1097 16
135 1098 55
806 1099 2
383 1100 1
1061 1101 31
819 1102 24
538 1103 16
693 1104 83
457 1105 36
856 1106 13
854 1107 4
976 1108 75
652 1109 36
272 1110 63
21 1111 33
688 1112 87
352 1113 62
1042 1114 67
384 1115 86
848 1116 24
304 1117 77
347 1118 12
700 1119 4
331 1120 20
639 1121 51
406 1122 55
108 1123 60
1116 1124 29
1015 1125 89
817 1126 9
494 1127 1
947 1128 21
935 1129 41
586 1130 26
218 1131 7
367 1132 46
523 1133 47
906 1134 27
175 1135 54
623 1136 41
109 1137 82
285 1138 14
1005 1139 27
995 1140 39
516 1141 86
984 1142 89
1026 1143 94
35 1144 100
182 1145 100
167 1146 12
466 1147 77
1002 1148 41
44 1149 65
475 1150 26
20 1151 16
535 1152 78
953 1153 13
417 1154 93
37 1155 86
811 1156 58
995 1157 30
1009 1158 60
545 1159 59
439 1160 57
550 1161 88
237 1162 16
397 1163 28
257 1164 40
100 1165 26
422 1166 65
389 1167 34
978 1168 42
770 1169 34
109 1170 89
789 1171 17
627 1172 41
750 1173 44
331 1174 20
1090 1175 11
128 1176 63
215 1177 47
103 1178 15
1090 1179 37
632 1180 69
402 1181 22
232 1182 55
519 1183 28
633 1184 57
205 1185 33
592 1186 31
597 1187 94
123 1188 98
889 1189 22
720 1190 42
43 1191 97
345 1192 83
52 1193 34
1183 1194 21
1117 1195 2
1147 1196 84
395 1197 27
66 1198 33
1138 1199 89
12 1200 14
774 1201 37
936 1202 74
251 1203 66
399 1204 19
899 1205 41
906 1206 71
71 1207 17
47 1208 32
862 1209 1
1053 1210 24
354 1211 46
348 1212 28
1164 1213 1
276 1214 25
852 1215 53
570 1216 63
710 1217 85
518 1218 20
32 1219 11
529 1220 88
1011 1221 2
500 1222 40
1070 1223 63
1150 1224 72
1080 1225 27
572 1226 17
434 1227 58
232 1228 95
279 1229 9
741 1230 100
851 1231 60
1081 1232 2
1088 1233 1
5 1234 93
464 1235 63
1186 1236 62
532 1237 39
396 1238 34
125 1239 76
666 1240 16
842 1241 3
669 1242 26
579 1243 81
744 1244 71
629 1245 39
850 1246 1
234 1247 83
35 1248 42
951 1249 27
1244 1250 94
1239 1251 66
1057 1252 5
444 1253 60
595 1254 9
249 1255 94
909 1256 89
920 1257 8
1128 1258 60
740 1259 33
867 1260 28
943 1261 51
374 1262 73
457 1263 87
683 1264 68
569 1265 51
293 1266 54
765 1267 20
634 1268 76
1028 1269 47
1092 1270 18
1142 1271 60
525 1272 39
583 1273 23
94 1274 59
882 1275 32
288 1276 30
755 1277 70
397 1278 67
846 1279 19
620 1280 21
1082 1281 47
836 1282 42
272 1283 83
1017 1284 1
689 1285 5
1059 1286 20
558 1287 28
498 1288 86
1239 1289 12
369 1290 58
344 1291 34
72 1292 78
1063 1293 93
1228 1294 11
45 1295 30
148 1296 36
256 1297 56
833 1298 97
424 1299 98
1125 1300 18
454 1301 68
894 1302 69
959 1303 50
405 1304 97
14 1305 50
954 1306 5
19 1307 45
1035 1308 37
373 1309 77
963 1310 51
378 1311 81
972 1312 85
892 1313 19
108 1314 77
758 1315 31
694 1316 69
922 1317 34
758 1318 44
598 1319 43
308 1320 45
992 1321 46
234 1322 26
1082 1323 34
101 1324 78
1006 1325 13
381 1326 20
107 1327 19
164 1328 33
1009 1329 89
1304 1330 5
319 1331 55
1202 1332 68
1168 1333 14
517 1334 23
1308 1335 52
297 1336 99
225 1337 67
767 1338 39
164 1339 37
1325 1340 62
481 1341 96
52 1342 46
182 1343 36
811 1344 3
1157 1345 90
64 1346 95
310 1347 83
459 1348 84
368 1349 26
131 1350 55
279 1351 25
1267 1352 77
687 1353 28
1108 1354 95
139 1355 31
1218 1356 65
6 1357 40
260 1358 44
199 1359 39
807 1360 3
421 1361 56
641 1362 24
642 1363 12
21 1364 38
985 1365 69
287 1366 69
195 1367 97
5 1368 87
40 1369 12
52 1370 40
714 1371 92
1088 1372 71
455 1373 66
290 1374 10
481 1375 63
537 1376 37
166 1377 61
1110 1378 60
1018 1379 23
425 1380 64
91 1381 40
277 1382 35
600 1383 29
383 1384 12
320 1385 58
1326 1386 85
1219 1387 7
382 1388 84
593 1389 73
1058 1390 33
1337 1391 4
1109 1392 57
933 1393 32
625 1394 40
836 1395 16
1099 1396 48
1127 1397 35
1149 1398 95
629 1399 59
1287 1400 54
816 1401 8
14 1402 16
725 1403 97
1247 1404 91
989 1405 43
730 1406 55
1069 1407 95
1169 1408 15
1206 1409 78
62 1410 84
493 1411 9
585 1412 100
1072 1413 17
221 1414 10
189 1415 3
556 1416 42
794 1417 5
416 1418 28
1181 1419 60
1216 1420 69
1022 1421 44
568 1422 52
234 1423 86
857 1424 16
976 1425 72
276 1426 60
662 1427 85
797 1428 27
465 1429 56
579 1430 27
538 1431 4
1 1432 68
224 1433 29
546 1434 9
376 1435 65
304 1436 41
1116 1437 4
796 1438 98
1378 1439 58
288 1440 57
1281 1441 15
304 1442 13
13 1443 27
52 1444 52
42 1445 79
700 1446 40
812 1447 50
87 1448 90
486 1449 5
25 1450 65
469 1451 78
755 1452 29
426 1453 97
366 1454 23
905 1455 42
1384 1456 39
412 1457 46
1173 1458 6
672 1459 42
844 1460 54
1260 1461 39
206 1462 54
380 1463 3
1289 1464 17
343 1465 44
808 1466 28
433 1467 89
407 1468 54
106 1469 85
303 1470 44
48 1471 58
678 1472 85
1428 1473 85
667 1474 27
920 1475 51
157 1476 97
1417 1477 76
868 1478 80
1324 1479 44
807 1480 37
1347 1481 28
268 1482 60
1210 1483 23
1326 1484 53
379 1485 93
1368 1486 36
638 1487 82
225 1488 5
350 1489 61
1010 1490 43
881 1491 63
413 1492 51
1239 1493 93
273 1494 68
1224 1495 77
994 1496 75
896 1497 19
2 1498 72
1319 1499 50
649 1500 99
1294 1501 76
1494 1502 44
73 1503 5
1163 1504 74
1486 1505 83
258 1506 76
624 1507 58
8 1508 36
202 1509 60
1027 1510 38
1157 1511 11
1195 1512 44
841 1513 49
70 1514 74
1404 1515 43
1257 1516 44
706 1517 58
1056 1518 78
1362 1519 38
1439 1520 27
961 1521 70
59 1522 18
805 1523 85
1119 1524 81
412 1525 11
68 1526 84
827 1527 33
367 1528 54
1069 1529 94
511 1530 30
1358 1531 50
1350 1532 57
1339 1533 63
9 1534 21
545 1535 88
599 1536 73
173 1537 5
465 1538 88
613 1539 46
462 1540 37
36 1541 37
1119 1542 29
1437 1543 47
1045 1544 1
773 1545 60
947 1546 80
1113 1547 7
677 1548 68
397 1549 22
649 1550 21
962 1551 90
1228 1552 70
995 1553 34
796 1554 35
1309 1555 76
933 1556 39
1120 1557 43
81 1558 32
807 1559 52
603 1560 33
911 1561 66
606 1562 71
1416 1563 1
228 1564 92
342 1565 29
1535 1566 35
951 1567 9
1341 1568 65
31 1569 13
1487 1570 25
1441 1571 74
691 1572 52
176 1573 33
1497 1574 8
776 1575 19
393 1576 94
1292 1577 57
615 1578 7
1027 1579 6
1384 1580 82
1395 1581 15
1017 1582 5
1461 1583 25
1361 1584 17
1217 1585 71
704 1586 29
894 1587 8
1109 1588 63
269 1589 16
873 1590 24
1556 1591 15
1456 1592 70
1363 1593 86
636 1594 79
995 1595 78
447 1596 29
972 1597 80
949 1598 67
1220 1599 53
1550 1600 93
76 1601 28
1344 1602 71
1428 1603 53
1096 1604 28
888 1605 8
91 1606 6
172 1607 72
1196 1608 96
229 1609 54
1017 1610 52
1122 1611 89
761 1612 23
1313 1613 65
1202 1614 24
307 1615 24
1568 1616 44
551 1617 41
1602 1618 38
589 1619 52
83 1620 65
191 1621 68
49 1622 36
375 1623 100
1038 1624 48
357 1625 8
776 1626 84
608 1627 30
671 1628 16
1026 1629 99
1410 1630 63
24 1631 59
731 1632 25
1155 1633 24
1245 1634 96
653 1635 31
1097 1636 85
130 1637 33
1148 1638 88
536 1639 54
1565 1640 36
261 1641 37
242 1642 61
1575 1643 82
58 1644 12
1300 1645 19
824 1646 54
1330 1647 32
24 1648 28
303 1649 95
512 1650 30
575 1651 34
418 1652 22
602 1653 38
464 1654 1
1279 1655 48
209 1656 4
557 1657 12
1118 1658 3
47 1659 91
21 1660 24
1050 1661 40
965 1662 39
1175 1663 58
885 1664 25
1253 1665 41
871 1666 77
1236 1667 24
208 1668 44
1065 1669 64
1014 1670 55
1421 1671 36
1394 1672 47
687 1673 73
1645 1674 39
860 1675 67
1563 1676 77
1338 1677 91
1653 1678 28
503 1679 32
836 1680 5
804 1681 10
1433 1682 50
1503 1683 83
203 1684 45
426 1685 92
986 1686 9
330 1687 9
1098 1688 26
1517 1689 8
627 1690 48
1566 1691 79
1030 1692 83
369 1693 90
1479 1694 21
386 1695 61
1020 1696 49
1682 1697 10
1422 1698 54
1242 1699 46
92 1700 90
1138 1701 1
1182 1702 17
761 1703 56
1700 1704 45
1043 1705 58
1000 1706 40
722 1707 20
738 1708 9
1286 1709 83
904 1710 35
1216 1711 6
230 1712 17
367 1713 85
1305 1714 58
1340 1715 72
854 1716 19
1476 1717 48
1188 1718 36
550 1719 77
189 1720 70
854 1721 25
940 1722 22
702 1723 35
69 1724 5
1006 1725 10
166 1726 65
1295 1727 26
1073 1728 33
1462 1729 3
185 1730 91
697 1731 41
1360 1732 50
213 1733 96
765 1734 96
1198 1735 66
737 1736 10
1254 1737 30
851 1738 85
1133 1739 12
669 1740 86
1661 1741 32
279 1742 40
553 1743 30
1006 1744 70
185 1745 14
1133 1746 11
1301 1747 22
1197 1748 95
1481 1749 97
606 1750 93
1014 1751 58
716 1752 55
792 1753 84
801 1754 56
377 1755 33
323 1756 67
304 1757 42
1580 1758 25
329 1759 30
1087 1760 59
543 1761 6
1148 1762 49
1053 1763 81
612 1764 48
265 1765 36
727 1766 43
1756 1767 93
186 1768 85
468 1769 88
34 1770 22
1520 1771 84
1534 1772 36
1605 1773 98
961 1774 51
1479 1775 5
1560 1776 21
1387 1777 78
1142 1778 41
956 1779 64
1460 1780 39
1172 1781 83
251 1782 97
1435 1783 29
1773 1784 54
1277 1785 76
697 1786 40
143 1787 67
941 1788 35
1036 1789 86
856 1790 42
593 1791 46
460 1792 5
264 1793 83
920 1794 85
1775 1795 37
383 1796 2
507 1797 55
315 1798 46
28 1799 82
788 1800 56
1157 1801 78
669 1802 67
214 1803 22
631 1804 59
523 1805 89
132 1806 1
775 1807 65
887 1808 58
1124 1809 2
1146 1810 50
840 1811 17
1589 1812 8
1503 1813 100
1144 1814 58
881 1815 56
1513 1816 41
1385 1817 60
352 1818 76
535 1819 11
1258 1820 43
1359 1821 37
790 1822 33
1475 1823 100
141 1824 4
1505 1825 36
403 1826 42
348 1827 55
39 1828 26
510 1829 6
182 1830 38
451 1831 48
250 1832 93
327 1833 88
603 1834 91
252 1835 5
1766 1836 49
421 1837 81
1233 1838 98
1216 1839 27
1301 1840 85
782 1841 6
182 1842 17
890 1843 79
821 1844 66
1377 1845 77
620 1846 45
229 1847 85
4 1848 83
1668 1849 61
57 1850 22
218 1851 63
1191 1852 62
1427 1853 2
1579 1854 74
82 1855 12
370 1856 41
273 1857 88
939 1858 76
1126 1859 99
907 1860 2
1695 1861 96
46 1862 51
1732 1863 88
504 1864 3
1820 1865 63
209 1866 65
1469 1867 45
206 1868 67
1483 1869 37
476 1870 26
818 1871 54
1329 1872 64
865 1873 75
707 1874 58
1375 1875 32
410 1876 52
1375 1877 58
499 1878 10
1177 1879 39
1592 1880 44
1481 1881 40
1412 1882 25
1525 1883 39
1211 1884 83
1059 1885 87
105 1886 23
1010 1887 78
253 1888 32
997 1889 29
1546 1890 81
703 1891 100
1193 1892 43
1661 1893 86
352 1894 53
526 1895 69
409 1896 25
1764 1897 9
1501 1898 44
1629 1899 44
178 1900 73
930 1901 38
1143 1902 21
915 1903 85
1282 1904 71
537 1905 92
1047 1906 77
494 1907 35
1329 1908 48
1400 1909 24
1173 1910 96
1304 1911 1
1846 1912 51
1565 1913 20
1878 1914 59
269 1915 72
1898 1916 44
1153 1917 30
1025 1918 28
1136 1919 67
368 1920 30
699 1921 1
796 1922 50
1598 1923 30
1846 1924 7
341 1925 53
1829 1926 48
1619 1927 73
1909 1928 65
977 1929 44
1037 1930 59
958 1931 58
576 1932 28
1567 1933 18
124 1934 4
653 1935 5
1848 1936 95
709 1937 43
1703 1938 44
318 1939 96
1109 1940 76
309 1941 56
1059 1942 53
1857 1943 73
1593 1944 73
420 1945 44
1468 1946 87
535 1947 37
990 1948 91
1799 1949 69
330 1950 43
1325 1951 27
527 1952 30
577 1953 84
1916 1954 93
1359 1955 75
765 1956 79
1827 1957 95
1088 1958 11
1627 1959 53
361 1960 86
788 1961 17
369 1962 53
510 1963 39
13 1964 12
919 1965 37
861 1966 84
727 1967 94
298 1968 35
1657 1969 89
714 1970 59
306 1971 99
1230 1972 98
1345 1973 73
774 1974 11
1569 1975 94
1648 1976 24
1030 1977 72
1599 1978 67
1056 1979 71
781 1980 69
227 1981 35
264 1982 73
1852 1983 68
1495 1984 56
84 1985 86
972 1986 23
1672 1987 4
866 1988 28
404 1989 79
175 1990 52
294 1991 85
1918 1992 86
1057 1993 55
90 1994 18
1017 1995 34
868 1996 31
1308 1997 41
1766 1998 48
1050 1999 61
1563 2000 68
1798 2001 69
123 2002 33
312 2003 62
793 2004 51
256 2005 49
624 2006 64
958 2007 81
1905 2008 94
1923 2009 4
969 2010 11
1097 2011 1
1812 2012 5
1109 2013 95
710 2014 1
1071 2015 6
1245 2016 5
15 2017 9
1638 2018 2
1072 2019 49
1043 2020 62
449 2021 6
1936 2022 34
810 2023 29
233 2024 24
1964 2025 42
1059 2026 69
724 2027 26
1072 2028 34
1460 2029 28
1776 2030 27
1765 2031 5
75 2032 11
1322 2033 19
1826 2034 87
2013 2035 17
340 2036 68
1166 2037 28
1396 2038 64
1332 2039 84
1674 2040 40
1045 2041 21
833 2042 18
660 2043 84
76 2044 18
1319 2045 89
1226 2046 47
1425 2047 78
665 2048 62
1212 2049 74
840 2050 19
1090 2051 52
63 2052 15
880 2053 90
1751 2054 87
995 2055 17
806 2056 49
1009 2057 37
36 2058 86
862 2059 69
830 2060 34
1469 2061 50
1066 2062 5
349 2063 90
433 2064 79
547 2065 19
277 2066 4
812 2067 34
489 2068 1
1419 2069 100
1890 2070 100
1736 2071 65
116 2072 4
1930 2073 14
1260 2074 73
1802 2075 44
1732 2076 94
1133 2077 87
1941 2078 76
1184 2079 16
1630 2080 42
1834 2081 2
593 2082 4
449 2083 66
679 2084 61
1757 2085 43
560 2086 80
996 2087 60
873 2088 61
